"Estimate","Std. Error","t value","Pr(>|t|)","prey"
-0.00419991600167997,0.0111119332678059,-0.377964473009227,0.741801110252839,"Maurolicus.muelleri"
0.047244094488189,0.027276390670376,1.73205080756888,0.225403330758516,"Lampichthys.procerus"
0.00570776255707763,0.0151013202686335,0.377964473009227,0.741801110252839,"Electrona.sp."
0.0114155251141553,0.030202640537267,0.377964473009227,0.741801110252839,"Lepidonotothen.larseni"
0.0529518570452666,0.0159048158018745,3.32929709497332,0.0795956827881428,"Paralepis.atlantica"
0.0487519410435866,0.0121765723625386,4.00374913334172,0.0570928944127458,"Krefftichthys.anderssoni"
-0.00538413889256461,0.0460509774606554,-0.116916929660498,0.917608331368647,"Protomyctophum.bolini"
-0.0194917334530022,0.0640142258318867,-0.304490653439926,0.789516058144427,"Scopelosaurus.ahlstromi"
0.146977217935956,0.137696394814254,1.0674006253702,0.39756805526023,"Dissostichus.eleginoides"
0.132860532844353,0.203147483772402,0.654010231272196,0.580256088643924,"Gymnoscopelus.sp."
0.11986301369863,0.317127725641304,0.377964473009227,0.741801110252839,"Notothenia.squamifrons"
0.105197473353571,0.0916966435490262,1.14723363126511,0.370007885391528,"Cephalopod"
0.818690899938877,0.30248783965621,2.70652499905237,0.113699163827001,"Crustacean"
0.0534598999531173,0.208470885298128,0.256438206594968,0.821580326262905,"Electrona.subaspera"
0.885602056592241,0.228429972548169,3.87690830022533,0.0605517203349511,"Penguin"
-0.347583877029306,0.323577639964334,-1.07419003694946,0.395135291533161,"Symbolophorus.boops"
-0.60538587248013,0.213850144632335,-2.83088830040751,0.10541731297924,"Electrona.antarctica"
0.0787174895559997,0.743219935384873,0.10591412556128,0.925316556742106,"Protomyctophum.choriodon"
-0.737099958236231,0.261703947056401,-2.81654123496034,0.106328345452424,"Gymnoscopelus.bolini"
-0.840055806223651,1.19236452245352,-0.704529353569725,0.554091917212988,"Metelectrona.ventralis"
-0.365057593840098,0.326011491058275,-1.11976909971815,0.379234570089533,"Electrona.carlsbergi"
-0.460645459059703,1.12039017451246,-0.411147357000123,0.720833367961393,"Gymnoscopelus.nicholsi"
-4.05900180806082,1.02040423229896,-3.97783709590848,0.0577757012388407,"Gymnoscopelus.fraseri"
10.9371148625236,2.21834376301206,4.93030658497818,0.0387626334281002,"Protomyctophum.tenisoni"
-6.00064846336744,2.09148670519743,-2.86908276703629,0.10304524222247,"Gymnoscopelus.piabilis"
