"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Gymnoscopelus piabilis",504,386,368,403.525,76.5873015873016,73.015873015873,80.0644841269841,9273,2154,1940.9,2380.2,23.2287285668069,20.8272894574017,25.9036786187557,32.297254134298,29.7444158511077,35.1714546247004,27,26,1,2,76.5873015873016,47.4495848161329,"primary","primary",386,210,190.475,227.525,54.4041450777202,49.3458549222798,58.9443005181347,5992,1680,1353.475,2086.3,28.0373831775701,23.6730649725469,32.4449522555956,22.9894322317407,20.2715826150791,25.5491706650126,25,25,1,1,54.4041450777202,28.0373831775701,"primary","primary"
"Gymnoscopelus sp.",504,6,2,11,1.19047619047619,0.396825396825397,2.18253968253968,9273,9,3,17,0.0970559689420899,0.0322337617991393,0.180354177139795,0.0988993888153552,0.0156395891690009,0.197323694435039,13,13,16,15,316.865079365079,99.3637442036019,"non-primary","non-primary",386,9,4,15,2.33160621761658,1.03626943005181,3.8860103626943,5992,16,4,34,0.267022696929239,0.0687958329130922,0.593178103793815,0.803549675266667,0.207081261451906,1.69409004282597,12,10,14,16,261.139896373057,99.3825100133511,"non-primary","non-primary"
"Krefftichthys anderssoni",504,3,0,7,0.595238095238095,0,1.38888888888889,9273,4,0,9,0.0431359861964844,0,0.0968805203095493,0.0212123006537203,0,0.0514668362583768,4,4,25,24,323.809523809524,99.9245120241562,"non-primary","non-primary",386,3,0,7,0.77720207253886,0,1.81347150259067,5992,3,0,7,0.0500667556742323,0,0.112503506621979,0.0565892081436123,0,0.142944993981263,7,6,19,20,267.875647668394,99.8831775700935,"non-primary","non-primary"
"Lampichthys procerus",504,6,2,11,1.19047619047619,0.396825396825397,2.18253968253968,9273,8,2,15,0.0862719723929688,0.0219267717950888,0.161307816926626,0.200244327750593,0.0264550264550265,0.502823692829958,14,12,15,17,315.674603174603,99.5362881483878,"non-primary","non-primary",386,1,0,3,0.259067357512953,0,0.77720207253886,5992,1,0,3,0.0166889185580774,0,0.0544984820264082,0.0863557858376511,0,0.259067357512953,2,2,25,25,269.948186528497,100,"non-primary","non-primary"
"Maurolicus muelleri",504,4,1,8,0.793650793650794,0.198412698412698,1.58730158730159,9273,5,1,10,0.0539199827456055,0.0105010904303056,0.112164582847155,0.0526824539982435,0.00551146384479718,0.106085637883883,8,6,19,20,319.642857142857,99.730400086272,"non-primary","non-primary",386,1,0,3,0.259067357512953,0,0.77720207253886,5992,1,0,3,0.0166889185580774,0,0.0556296200771878,0.0161917098445596,0,0.0485751295336788,4,1,23,23,269.430051813471,99.9666221628838,"non-primary","non-primary"
"Metelectrona ventralis",504,68,53,82,13.4920634920635,10.515873015873,16.2698412698413,9273,258,161,361.05,2.78227110967324,1.75900749333718,3.90750201559538,2.65124359133132,1.81955768946462,3.43785843400781,21,23,7,5,284.325396825397,91.2973147848593,"non-primary","non-primary",386,35,23,46,9.06735751295337,5.95854922279793,11.9170984455959,5992,155,83.475,242.05,2.586782376502,1.45724938139504,3.97100453520804,1.86564821866884,1.13625725989756,2.72067622185542,18,20,8,6,228.497409326425,91.3384512683578,"non-primary","non-primary"
"Notothenia squamifrons",504,4,1,8,0.793650793650794,0.198412698412698,1.58730158730159,9273,7,1,15,0.0754879758438477,0.0107916806220167,0.162243695278006,0.493487993487993,0.061050061050061,1.14036426536426,6,10,22,18,322.02380952381,99.6117761242316,"non-primary","non-primary",386,2,0,5,0.518134715025907,0,1.29533678756477,5992,21,0,58.5749999999999,0.350467289719626,0,1.05296885289285,0.501943005181347,0,1.27914507772021,5,11,21,15,268.911917098446,99.1154873164219,"non-primary","non-primary"
"Paralepis atlantica",504,9,4,15,1.78571428571429,0.793650793650794,2.97619047619048,9273,11,5,19,0.118623962040332,0.0522322804892356,0.208086742619732,0.170459949986892,0.0760002852636781,0.308284439413042,15,15,13,13,313.293650793651,99.1588482691686,"non-primary","non-primary",386,2,0,5,0.518134715025907,0,1.29533678756477,5992,2,0,5,0.0333778371161549,0,0.0870935107820751,0.054691997697179,0,0.138169257340242,6,5,20,22,268.39378238342,99.9499332443258,"non-primary","non-primary"
"Paralepis sp.",504,4,1,8,0.793650793650794,0.198412698412698,1.58730158730159,9273,5,1,11,0.0539199827456055,0.0102366774806241,0.122546712901399,0.139904301439605,0.00551146384479718,0.355291901243256,9,7,21,22,321.230158730159,99.8382400517632,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Photichthys argenteus",504,2,0,5,0.396825396825397,0,0.992063492063492,9273,2,0,5,0.0215679930982422,0,0.0549482252004507,0.0734861845972957,0,0.213109935332158,2,2,26,27,324.206349206349,100,"non-primary","non-primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
