"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Protomyctophum tenisoni",504,195,176,216,38.6904761904762,34.9206349206349,42.8571428571429,9273,2246,1816.375,2712.25,24.220856249326,20.1709822060207,28.2450107030834,18.9201424188944,16.2331890536761,21.6999796381512,24,27,4,1,231.547619047619,24.220856249326,"primary","primary"
"Gymnoscopelus piabilis",504,386,368,403.525,76.5873015873016,73.015873015873,80.0644841269841,9273,2154,1940.9,2380.2,23.2287285668069,20.8272894574017,25.9036786187557,32.297254134298,29.7444158511077,35.1714546247004,27,26,1,2,76.5873015873016,47.4495848161329,"primary","primary"
"Gymnoscopelus fraseri",504,236,214,256.525,46.8253968253968,42.4603174603175,50.8978174603175,9273,1932,1571,2310.25,20.834681332902,17.4904926021567,24.5752295320581,16.6524458752196,14.5441605726345,18.911104818832,25,25,3,3,192.857142857143,68.2842661490348,"primary","primary"
"Gymnoscopelus nicholsi",504,350,328,368,69.4444444444444,65.0793650793651,73.015873015873,9273,1876,1614.95,2146,20.2307775261512,17.9190879471819,22.5891780662772,18.7593265285392,16.7506641927379,20.5763810833826,26,24,2,4,146.031746031746,88.515043675186,"primary","primary"
"Metelectrona ventralis",504,68,53,82,13.4920634920635,10.515873015873,16.2698412698413,9273,258,161,361.05,2.78227110967324,1.75900749333718,3.90750201559538,2.65124359133132,1.81955768946462,3.43785843400781,21,23,7,5,284.325396825397,91.2973147848593,"non-primary","non-primary"
"Electrona carlsbergi",504,121,103,140,24.0079365079365,20.4365079365079,27.7777777777778,9273,257,200.425,311.525,2.77148711312412,2.14590633987966,3.36816165891724,3.01710985738547,2.29491516345629,3.70352828880838,23,22,5,6,255.555555555556,94.0688018979834,"primary","non-primary"
"Gymnoscopelus bolini",504,77,62,93,15.2777777777778,12.3015873015873,18.452380952381,9273,160,120,206,1.72543944785938,1.27085108113794,2.17747885239238,1.92942983477541,1.38643173961736,2.51849429826745,22,21,6,7,270.833333333333,95.7942413458428,"non-primary","non-primary"
"Protomyctophum choriodon",504,46,34,59,9.12698412698413,6.74603174603175,11.7063492063492,9273,133,76.475,224,1.43427154103311,0.837922454903587,2.32329994717641,1.37742402283538,0.86220773598375,2.05538359158399,20,20,8,8,293.452380952381,97.2285128868759,"non-primary","non-primary"
"Scopelosaurus ahlstromi",504,38,28,50,7.53968253968254,5.55555555555556,9.92063492063492,9273,58,39.475,79,0.625471799849024,0.417094957613101,0.861746600109361,0.728757733395057,0.464241191130939,1.02494629732731,19,19,9,9,300.992063492063,97.8539846867249,"non-primary","non-primary"
"Electrona subaspera",504,14,7,22,2.77777777777778,1.38888888888889,4.36507936507936,9273,41,17,73.525,0.442143858513965,0.176822592058793,0.789364317461905,0.388954812409754,0.162971661023316,0.667785392092223,16,18,12,10,311.507936507937,98.2961285452389,"non-primary","non-primary"
