"prey","n.samples.x","fo.number.x","fo.number.LCL.x","fo.number.UCL.x","fo.percent.x","fo.percent.LCL.x","fo.percent.UCL.x","n.preyitems.x","na.number.x","na.number.LCL.x","na.number.UCL.x","na.percent.x","na.percent.LCL.x","na.percent.UCL.x","na.weighted.x","na.weighted.LCL.x","na.weighted.UCL.x","rank.fo.x","rank.na.x","rank.fo.inv.x","rank.na.inv.x","cum.fo.x","cum.na.x","fo.prim.x","na.prim.x","n.samples.y","fo.number.y","fo.number.LCL.y","fo.number.UCL.y","fo.percent.y","fo.percent.LCL.y","fo.percent.UCL.y","n.preyitems.y","na.number.y","na.number.LCL.y","na.number.UCL.y","na.percent.y","na.percent.LCL.y","na.percent.UCL.y","na.weighted.y","na.weighted.LCL.y","na.weighted.UCL.y","rank.fo.y","rank.na.y","rank.fo.inv.y","rank.na.inv.y","cum.fo.y","cum.na.y","fo.prim.y","na.prim.y"
"Cephalopod",750,3,0,7,0.4,0,0.933333333333333,13654,3,0,7,0.0219715834187784,0,0.0509461426491994,0.4,0,0.933333333333333,2,2,2,2,99.8666666666667,99.9926761388604,"primary","primary",661,31,20,42,4.68986384266263,3.02571860816944,6.35400907715582,9061,33,21,45,0.364198212117868,0.224013793149001,0.518691419164229,4.68986384266263,3.02571860816944,6.35400907715582,1,1,4,4,100,100,"non-primary","non-primary"
"Crustacean",750,1,0,4,0.133333333333333,0,0.533333333333333,13654,1,0,4,0.00732386113959279,0,0.030686612965094,0.133333333333333,0,0.533333333333333,1,1,3,3,100,100,"primary","primary",661,74,60,91,11.1951588502269,9.08368862604869,13.767019667171,9061,75,61,93,0.82772320935879,0.635632285501409,1.06902066009287,11.1951588502269,9.08368862604869,13.767019667171,3,3,2,2,87.1406959152799,99.0398410771438,"primary","primary"
"Fish",750,746,741,749,99.4666666666667,98.8,99.8666666666667,13654,13650,12589,14628,99.9707045554416,99.9344978165939,99.9930386355726,99.4666666666667,98.8,99.8666666666667,3,3,1,1,99.4666666666667,99.9707045554416,"primary","primary",661,502,479,523,75.9455370650529,72.4659606656581,79.1225416036309,9061,8899,7936.225,9971.025,98.212117867785,97.806388840356,98.5380035448618,75.9455370650529,72.4659606656581,79.1225416036309,4,4,1,1,75.9455370650529,98.212117867785,"primary","primary"
"Penguin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,54,40,67.525,8.16944024205749,6.05143721633888,10.2228774125521,9061,54,40,67.525,0.595960710738329,0.427478339206698,0.785534924813282,8.16944024205749,6.05143721633888,10.2228774125521,2,2,3,3,95.3101361573374,99.6358017878821,"non-primary","non-primary"
