"Estimate","Std. Error","t value","Pr(>|t|)","prey"
-0.0303859009419629,0.0175433080884116,-1.73205080756888,0.333333333333333,"Bathylagus.gracilis"
-0.0151929504709815,0.00846782846369583,-1.79419676911481,0.323702418741449,"Photichthys.argenteus"
0.0569692366122294,0.0328912040935981,1.73205080756888,0.333333333333333,"Cephalopod"
0.00379679506642833,0.0147435762737314,0.257521987605752,0.839542815848542,"Krefftichthys.anderssoni"
0.0759589821496392,0.0438549387914642,1.73205080756888,0.333333333333333,"Bathylagus.sp."
-0.0607718018839259,0.0178471336689216,-3.40512953011339,0.181846367409705,"Maurolicus.muelleri"
0.0227865406038381,0.00377984157586538,6.02843800368041,0.104649857032538,"Paralepis.sp."
0.0607660316786577,0.05262659283567,1.15466399028346,0.454381023511833,"Dissostichus.eleginoides"
-0.00759936033812481,0.0310029490204479,-0.245117338131695,0.846970635582663,"Sternoptychidae"
0.132928218761869,0.0767461428850623,1.73205080756888,0.333333333333333,"Notothenia.squamifrons"
-0.0417820563465161,0.00566809664901566,-7.37144387856761,0.0858389552940034,"Protomyctophum.bolini"
0.0797557772160675,0.0291113625177328,2.73967861062791,0.222804461589783,"Lampichthys.procerus"
-1.96261557335472e-17,0.155155342571115,-1.26493586416798e-16,1,"Gymnoscopelus.sp."
-0.151929504709815,0.0877165404420581,-1.73205080756888,0.333333333333333,"Gymnoscopelus.braueri"
0.208887200911508,0.120601081676527,1.73205080756888,0.333333333333333,"Paralepis.atlantica"
0.132916678351332,0.097017218338934,1.37003184204872,0.401400906915239,"Electrona.antarctica"
0.136719243623029,0.108876461994701,1.25572819981681,0.428134296106727,"Symbolophorus.boops"
0.303835928598557,0.255567307531684,1.18886852756348,0.445204399523432,"Electrona.subaspera"
0.0911230815942799,0.301254504730708,0.302478735299693,0.813006113982893,"Scopelosaurus.ahlstromi"
1.59512708473189,0.561956174900783,2.83852577118405,0.215634823030604,"Protomyctophum.choriodon"
-0.429245569896055,0.141271318894265,-3.03844809587517,0.202413005225411,"Gymnoscopelus.bolini"
0.706330826871568,0.310214659594678,2.27690989134573,0.263452045322315,"Electrona.carlsbergi"
0.49368722233051,1.7715544270198,0.278674600565908,0.826979963302776,"Metelectrona.ventralis"
-5.05210322250962,4.87025353351813,-1.03733885469,0.48833380504027,"Gymnoscopelus.nicholsi"
-10.5479525407541,4.86581807376613,-2.16776549818477,0.275156545319645,"Gymnoscopelus.fraseri"
-0.114873246477901,2.04164073128975,-0.056265161993184,0.964218212507491,"Gymnoscopelus.piabilis"
12.3502473052276,8.3791312653834,1.47392932680862,0.379502968479033,"Protomyctophum.tenisoni"
