"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Gymnoscopelus piabilis",750,580,557.975,602,77.3333333333333,74.3966666666667,80.2666666666667,13654,3573,3269.975,3897.025,26.1681558517651,23.9178307068455,28.396277453743,32.5440151106212,30.3230560731072,34.8338412456231,31,31,1,1,77.3333333333333,26.1681558517651,"primary","primary"
"Gymnoscopelus nicholsi",750,520,497,545,69.3333333333333,66.2666666666667,72.6666666666667,13654,2900,2604,3238.05,21.2391973048191,19.3709197934737,23.2992446504036,19.652070759699,18.1617982911994,21.3811071250832,30,30,2,2,146.666666666667,47.4073531565842,"primary","primary"
"Protomyctophum tenisoni",750,225,200,249,30,26.6666666666667,33.2,13654,2326,1875.875,2852.175,17.0353010106928,13.9335117263792,20.3331051136034,13.4837835729308,11.6332629935805,15.2593568938027,28,29,4,3,218.666666666667,64.442654167277,"primary","primary"
"Gymnoscopelus fraseri",750,315,288,342,42,38.4,45.6,13654,2301,1908.95,2758.2,16.852204482203,14.1036425669361,19.859386158444,13.6314651402998,11.950296040465,15.3761437400961,29,28,3,4,188.666666666667,81.29485864948,"primary","primary"
"Metelectrona ventralis",750,171,150,195,22.8,20,26,13654,990,722.925,1333.125,7.25062252819686,5.28321764778427,9.46783621997169,5.78514350556832,4.78927012903792,6.90482963375944,26,27,6,5,270.933333333333,88.5454811776769,"primary","non-primary"
"Electrona carlsbergi",750,221,198.975,246,29.4666666666667,26.5308811748999,32.8,13654,643,539.95,769.225,4.70924271275817,3.97534122748899,5.53685205702788,5.59302720264071,4.58390366847303,6.64470030630863,27,26,5,6,248.133333333333,93.254723890435,"primary","non-primary"
"Gymnoscopelus bolini",750,112,93,132,14.9333333333333,12.4,17.6,13654,230,179,286,1.68448806210634,1.31597040131306,2.10412424750029,1.91225207353831,1.47423943545129,2.4510590375191,25,25,7,7,285.866666666667,94.9392119525414,"non-primary","non-primary"
"Protomyctophum choriodon",750,63,48.975,77.025,8.4,6.53,10.2833644859813,13654,167,101,248.025,1.223084810312,0.740624981440218,1.79678872807146,1.27769697956252,0.810862126732155,1.76628910114639,24,24,8,8,294.266666666667,96.1622967628534,"non-primary","non-primary"
"Electrona subaspera",750,53,40.975,67,7.06666666666667,5.46333333333333,8.93333333333333,13654,164,99.975,243.05,1.20111322689322,0.729118724717292,1.78041539624191,1.4523743665566,0.986857647808919,2.0067578930378,22,23,10,9,309.333333333333,97.3634099897466,"non-primary","non-primary"
"Scopelosaurus ahlstromi",750,60,46,76,8,6.13333333333333,10.1333333333333,13654,87,64.975,113,0.637175919144573,0.463573833618573,0.830160863395754,0.726412173394886,0.511334927811793,0.96647302620365,23,22,9,10,302.266666666667,98.0005859088912,"non-primary","non-primary"
"Symbolophorus boops",750,34,23,44,4.53333333333333,3.06666666666667,5.86666666666667,13654,62,40,85,0.454079390654753,0.295556778861277,0.614705099142203,0.620193399812145,0.348386219908124,0.918941246738667,21,21,11,11,313.866666666667,98.4546652995459,"non-primary","non-primary"
"Electrona antarctica",750,26,16,36,3.46666666666667,2.13333333333333,4.8,13654,41,25,61,0.300278306723305,0.180018334068293,0.44001514526995,0.472393392805911,0.19764224226859,0.823918263400077,20,20,12,12,317.333333333333,98.7549436062692,"non-primary","non-primary"
"Paralepis atlantica",750,20,12,29,2.66666666666667,1.6,3.86666666666667,13654,25,14,37,0.18309652848982,0.10491057498004,0.277698276489298,0.420809177927085,0.145813189450606,0.829871321399459,19,19,13,13,320,98.938040134759,"non-primary","non-primary"
"Gymnoscopelus sp.",750,11,5,18,1.46666666666667,0.666666666666667,2.4,13654,19,9,32,0.139153361652263,0.0644586285988495,0.23544018903794,0.461418372477196,0.114182633053221,0.901627034403505,18,18,16,14,324.4,99.0771934964113,"non-primary","non-primary"
