"prey","n.samples","fo.number","fo.number.LCL","fo.number.UCL","fo.percent","fo.percent.LCL","fo.percent.UCL","n.preyitems","na.number","na.number.LCL","na.number.UCL","na.percent","na.percent.LCL","na.percent.UCL","na.weighted","na.weighted.LCL","na.weighted.UCL","rank.fo","rank.na","rank.fo.inv","rank.na.inv","cum.fo","cum.na","fo.prim","na.prim"
"Fish",661,502,479,523,75.9455370650529,72.4659606656581,79.1225416036309,9061,8899,7936.225,9971.025,98.212117867785,97.806388840356,98.5380035448618,75.9455370650529,72.4659606656581,79.1225416036309,4,4,1,1,75.9455370650529,98.212117867785,"primary","primary"
"Crustacean",661,74,60,91,11.1951588502269,9.08368862604869,13.767019667171,9061,75,61,93,0.82772320935879,0.635632285501409,1.06902066009287,11.1951588502269,9.08368862604869,13.767019667171,3,3,2,2,87.1406959152799,99.0398410771438,"primary","primary"
"Penguin",661,54,40,67.525,8.16944024205749,6.05143721633888,10.2228774125521,9061,54,40,67.525,0.595960710738329,0.427478339206698,0.785534924813282,8.16944024205749,6.05143721633888,10.2228774125521,2,2,3,3,95.3101361573374,99.6358017878821,"non-primary","non-primary"
"Cephalopod",661,31,20,42,4.68986384266263,3.02571860816944,6.35400907715582,9061,33,21,45,0.364198212117868,0.224013793149001,0.518691419164229,4.68986384266263,3.02571860816944,6.35400907715582,1,1,4,4,100,100,"non-primary","non-primary"
