Prey,%F,%N,seal,year
Protomyctophum bolini,1.664145234,0.176580951,gaz,2006-2010
Protomyctophum choriodon,18.3,3.3,gaz,1989-1995
Protomyctophum choriodon,18.78,2.66,trop,1989-1995
Protomyctophum choriodon,13.9,3.93,trop,1996-2000
Protomyctophum choriodon,19.68,4.32,gaz,1996-2000
Protomyctophum choriodon,8.4,1.22308481,trop,2006-2010
Protomyctophum choriodon,5.597579425,1.269175588,gaz,2006-2010
Protomyctophum sp.,8.04,0.96,gaz,1989-1995
Protomyctophum sp.,10.61,1.47,trop,1989-1995
Protomyctophum sp.,1.91,0.09,trop,1996-2000
Protomyctophum tenisoni,26.79,32.18,gaz,1989-1995
Protomyctophum tenisoni,28.98,15.44,trop,1989-1995
Protomyctophum tenisoni,2.87,0.74,trop,1996-2000
Protomyctophum tenisoni,2.01,0.2,gaz,1996-2000
Protomyctophum tenisoni,30,17.03530101,trop,2006-2010
Protomyctophum tenisoni,26.17246596,18.91623441,gaz,2006-2010
Protomytophum bolini,0.133333333,0.058590889,trop,2006-2010
Scopelareus ahlstromi,3.35,0.26,trop,1996-2000
Scopelareus ahlstromi,0.8,0.19,gaz,1996-2000
Scopelareus sp.,0.48,0.01,trop,1996-2000
Scopelosaurus ahlstromi,8,0.637175919,trop,2006-2010
Scopelosaurus ahlstromi,1.059001513,0.132435713,gaz,2006-2010
Sternoptychidae,1.066666667,0.073238611,trop,2006-2010
Sternoptychidae,0.453857791,0.055181547,gaz,2006-2010
Symbolophorus boops,4.533333333,0.454079391,trop,2006-2010
Symbolophorus boops,4.689863843,0.761505353,gaz,2006-2010
Zanclorhynchus spinifer,0.45,0.01,gaz,1989-1995
